[한화] 2026년 06월 예약가능 잔여객실 현황
수집일시: 2026-06-15 03:21
==================================================

■ 지점명: 경주 에톤 (경상)
  - 2026년 06월 28일 (일요일) | 디럭스 싱글 트윈 | 예약가능 (58실)
  - 2026년 06월 28일 (일요일) | 디럭스(호텔형) | 예약가능 (12실)
  - 2026년 06월 28일 (일요일) | 플래티넘 | 예약가능 (1실)
  - 2026년 06월 29일 (월요일) | 디럭스 | 예약가능 (51실)
  - 2026년 06월 29일 (월요일) | 디럭스 싱글 트윈 | 예약가능 (59실)
  - 2026년 06월 29일 (월요일) | 디럭스(호텔형) | 예약가능 (20실)
  - 2026년 06월 29일 (월요일) | 플래티넘 | 예약가능 (1실)
  - 2026년 06월 30일 (화요일) | 디럭스 | 예약가능 (58실)
  - 2026년 06월 30일 (화요일) | 디럭스 싱글 트윈 | 예약가능 (69실)
  - 2026년 06월 30일 (화요일) | 디럭스(호텔형) | 예약가능 (19실)
  - 2026년 06월 30일 (화요일) | 로얄 | 예약가능 (2실)
  - 2026년 06월 30일 (화요일) | 플래티넘 | 예약가능 (1실)

■ 지점명: 설악 별관 (강원)
  - 2026년 06월 19일 (금요일) | 디럭스 | 예약가능 (2실)

■ 지점명: 설악 쏘라노 (강원)
  - 2026년 06월 15일 (월요일) | 디럭스 | 예약가능 (159실)
  - 2026년 06월 15일 (월요일) | 디럭스(모던) | 예약가능 (96실)
  - 2026년 06월 15일 (월요일) | 디럭스(원룸) | 예약가능 (34실)
  - 2026년 06월 15일 (월요일) | 디럭스(원룸_호텔형) | 예약가능 (42실)
  - 2026년 06월 15일 (월요일) | 디럭스(유러피언_원룸_호텔형) | 예약가능 (15실)
  - 2026년 06월 15일 (월요일) | 디럭스(트윈베드) | 예약가능 (18실)
  - 2026년 06월 15일 (월요일) | 디럭스(트윈베드_호텔형) | 예약가능 (6실)
  - 2026년 06월 15일 (월요일) | 디럭스(티니핑 연구소룸_호텔형) | 예약가능 (4실)
  - 2026년 06월 15일 (월요일) | 디럭스(티니핑 프린세스룸_호텔형) | 예약가능 (1실)
  - 2026년 06월 15일 (월요일) | 로얄(모던) | 예약가능 (5실)
  - 2026년 06월 15일 (월요일) | 로얄(유러피언_호텔형) | 예약가능 (1실)
  - 2026년 06월 15일 (월요일) | 프리미어 스위트(호텔형) | 예약가능 (18실)
  - 2026년 06월 16일 (화요일) | 디럭스 | 예약가능 (166실)
  - 2026년 06월 16일 (화요일) | 디럭스(모던) | 예약가능 (113실)
  - 2026년 06월 16일 (화요일) | 디럭스(원룸) | 예약가능 (37실)
  - 2026년 06월 16일 (화요일) | 디럭스(원룸_호텔형) | 예약가능 (40실)
  - 2026년 06월 16일 (화요일) | 디럭스(유러피언_원룸_호텔형) | 예약가능 (10실)
  - 2026년 06월 16일 (화요일) | 디럭스(트윈베드) | 예약가능 (31실)
  - 2026년 06월 16일 (화요일) | 디럭스(트윈베드_호텔형) | 예약가능 (6실)
  - 2026년 06월 16일 (화요일) | 디럭스(티니핑 슈팅스타룸_호텔형) | 예약가능 (4실)
  - 2026년 06월 16일 (화요일) | 디럭스(티니핑 연구소룸_호텔형) | 예약가능 (7실)
  - 2026년 06월 16일 (화요일) | 디럭스(티니핑 프린세스룸_호텔형) | 예약가능 (4실)
  - 2026년 06월 16일 (화요일) | 로얄(모던) | 예약가능 (1실)
  - 2026년 06월 16일 (화요일) | 프리미어 스위트(호텔형) | 예약가능 (19실)
  - 2026년 06월 17일 (수요일) | 디럭스 | 예약가능 (201실)
  - 2026년 06월 17일 (수요일) | 디럭스(모던) | 예약가능 (117실)
  - 2026년 06월 17일 (수요일) | 디럭스(원룸) | 예약가능 (38실)
  - 2026년 06월 17일 (수요일) | 디럭스(원룸_호텔형) | 예약가능 (43실)
  - 2026년 06월 17일 (수요일) | 디럭스(유러피언_원룸_호텔형) | 예약가능 (17실)
  - 2026년 06월 17일 (수요일) | 디럭스(트윈베드) | 예약가능 (32실)
  - 2026년 06월 17일 (수요일) | 디럭스(트윈베드_호텔형) | 예약가능 (5실)
  - 2026년 06월 17일 (수요일) | 디럭스(티니핑 슈팅스타룸_호텔형) | 예약가능 (4실)
  - 2026년 06월 17일 (수요일) | 디럭스(티니핑 연구소룸_호텔형) | 예약가능 (6실)
  - 2026년 06월 17일 (수요일) | 디럭스(티니핑 프린세스룸_호텔형) | 예약가능 (3실)
  - 2026년 06월 17일 (수요일) | 로얄 | 예약가능 (3실)
  - 2026년 06월 17일 (수요일) | 프리미어 스위트(호텔형) | 예약가능 (20실)
  - 2026년 06월 18일 (목요일) | 디럭스 | 예약가능 (157실)
  - 2026년 06월 18일 (목요일) | 디럭스(모던) | 예약가능 (52실)
  - 2026년 06월 18일 (목요일) | 디럭스(원룸) | 예약가능 (38실)
  - 2026년 06월 18일 (목요일) | 디럭스(원룸_호텔형) | 예약가능 (42실)
  - 2026년 06월 18일 (목요일) | 디럭스(유러피언_원룸_호텔형) | 예약가능 (12실)
  - 2026년 06월 18일 (목요일) | 디럭스(트윈베드) | 예약가능 (30실)
  - 2026년 06월 18일 (목요일) | 디럭스(트윈베드_호텔형) | 예약가능 (7실)
  - 2026년 06월 18일 (목요일) | 디럭스(티니핑 연구소룸_호텔형) | 예약가능 (5실)
  - 2026년 06월 18일 (목요일) | 디럭스(티니핑 프린세스룸_호텔형) | 예약가능 (3실)
  - 2026년 06월 18일 (목요일) | 로얄 | 예약가능 (1실)
  - 2026년 06월 18일 (목요일) | 로얄(모던) | 예약가능 (2실)
  - 2026년 06월 18일 (목요일) | 로얄(유러피언_호텔형) | 예약가능 (1실)
  - 2026년 06월 18일 (목요일) | 프리미어 스위트(호텔형) | 예약가능 (19실)
  - 2026년 06월 19일 (금요일) | 디럭스 | 예약가능 (48실)
  - 2026년 06월 19일 (금요일) | 디럭스(모던) | 예약가능 (27실)
  - 2026년 06월 19일 (금요일) | 디럭스(원룸) | 예약가능 (25실)
  - 2026년 06월 19일 (금요일) | 디럭스(원룸_호텔형) | 예약가능 (35실)
  - 2026년 06월 19일 (금요일) | 디럭스(유러피언_원룸_호텔형) | 예약가능 (1실)
  - 2026년 06월 19일 (금요일) | 디럭스(트윈베드) | 예약가능 (5실)
  - 2026년 06월 19일 (금요일) | 디럭스(트윈베드_호텔형) | 예약가능 (1실)
  - 2026년 06월 19일 (금요일) | 디럭스(티니핑 연구소룸_호텔형) | 예약가능 (1실)
  - 2026년 06월 19일 (금요일) | 디럭스(티니핑 프린세스룸_호텔형) | 예약가능 (1실)
  - 2026년 06월 19일 (금요일) | 로얄(모던) | 예약가능 (2실)
  - 2026년 06월 19일 (금요일) | 프리미어 스위트(호텔형) | 예약가능 (16실)
  - 2026년 06월 20일 (토요일) | 디럭스 | 예약가능 (7실)
  - 2026년 06월 20일 (토요일) | 디럭스(모던) | 예약가능 (15실)
  - 2026년 06월 20일 (토요일) | 디럭스(원룸) | 예약가능 (7실)
  - 2026년 06월 20일 (토요일) | 디럭스(원룸_호텔형) | 예약가능 (18실)
  - 2026년 06월 20일 (토요일) | 디럭스(유러피언_원룸_호텔형) | 예약가능 (3실)
  - 2026년 06월 20일 (토요일) | 디럭스(트윈베드) | 예약가능 (5실)
  - 2026년 06월 20일 (토요일) | 로얄 | 예약가능 (4실)
  - 2026년 06월 20일 (토요일) | 프리미어 스위트(호텔형) | 예약가능 (13실)
  - 2026년 06월 21일 (일요일) | 디럭스 | 예약가능 (104실)
  - 2026년 06월 21일 (일요일) | 디럭스(모던) | 예약가능 (53실)
  - 2026년 06월 21일 (일요일) | 디럭스(원룸) | 예약가능 (31실)
  - 2026년 06월 21일 (일요일) | 디럭스(원룸_호텔형) | 예약가능 (37실)
  - 2026년 06월 21일 (일요일) | 디럭스(유러피언_원룸_호텔형) | 예약가능 (9실)
  - 2026년 06월 21일 (일요일) | 디럭스(트윈베드) | 예약가능 (20실)
  - 2026년 06월 21일 (일요일) | 디럭스(티니핑 연구소룸_호텔형) | 예약가능 (1실)
  - 2026년 06월 21일 (일요일) | 프리미어 스위트(호텔형) | 예약가능 (13실)
  - 2026년 06월 22일 (월요일) | 디럭스 | 예약가능 (150실)
  - 2026년 06월 22일 (월요일) | 디럭스(모던) | 예약가능 (105실)
  - 2026년 06월 22일 (월요일) | 디럭스(원룸) | 예약가능 (32실)
  - 2026년 06월 22일 (월요일) | 디럭스(원룸_호텔형) | 예약가능 (41실)
  - 2026년 06월 22일 (월요일) | 디럭스(유러피언_원룸_호텔형) | 예약가능 (10실)
  - 2026년 06월 22일 (월요일) | 디럭스(트윈베드) | 예약가능 (32실)
  - 2026년 06월 22일 (월요일) | 디럭스(트윈베드_호텔형) | 예약가능 (7실)
  - 2026년 06월 22일 (월요일) | 디럭스(티니핑 슈팅스타룸_호텔형) | 예약가능 (2실)
  - 2026년 06월 22일 (월요일) | 디럭스(티니핑 연구소룸_호텔형) | 예약가능 (4실)
  - 2026년 06월 22일 (월요일) | 디럭스(티니핑 프린세스룸_호텔형) | 예약가능 (4실)
  - 2026년 06월 22일 (월요일) | 로얄 | 예약가능 (3실)
  - 2026년 06월 22일 (월요일) | 로얄(모던) | 예약가능 (6실)
  - 2026년 06월 22일 (월요일) | 로얄(유러피언_호텔형) | 예약가능 (1실)
  - 2026년 06월 22일 (월요일) | 프리미어 스위트(호텔형) | 예약가능 (16실)
  - 2026년 06월 23일 (화요일) | 디럭스 | 예약가능 (145실)
  - 2026년 06월 23일 (화요일) | 디럭스(모던) | 예약가능 (119실)
  - 2026년 06월 23일 (화요일) | 디럭스(원룸) | 예약가능 (39실)
  - 2026년 06월 23일 (화요일) | 디럭스(원룸_호텔형) | 예약가능 (43실)
  - 2026년 06월 23일 (화요일) | 디럭스(유러피언_원룸_호텔형) | 예약가능 (14실)
  - 2026년 06월 23일 (화요일) | 디럭스(트윈베드) | 예약가능 (25실)
  - 2026년 06월 23일 (화요일) | 디럭스(트윈베드_호텔형) | 예약가능 (6실)
  - 2026년 06월 23일 (화요일) | 디럭스(티니핑 슈팅스타룸_호텔형) | 예약가능 (4실)
  - 2026년 06월 23일 (화요일) | 디럭스(티니핑 연구소룸_호텔형) | 예약가능 (7실)
  - 2026년 06월 23일 (화요일) | 디럭스(티니핑 프린세스룸_호텔형) | 예약가능 (4실)
  - 2026년 06월 23일 (화요일) | 로얄 | 예약가능 (3실)
  - 2026년 06월 23일 (화요일) | 로얄(모던) | 예약가능 (3실)
  - 2026년 06월 23일 (화요일) | 로얄(유러피언_호텔형) | 예약가능 (1실)
  - 2026년 06월 23일 (화요일) | 프리미어 스위트(호텔형) | 예약가능 (20실)
  - 2026년 06월 24일 (수요일) | 디럭스 | 예약가능 (196실)
  - 2026년 06월 24일 (수요일) | 디럭스(모던) | 예약가능 (104실)
  - 2026년 06월 24일 (수요일) | 디럭스(원룸) | 예약가능 (41실)
  - 2026년 06월 24일 (수요일) | 디럭스(원룸_호텔형) | 예약가능 (43실)
  - 2026년 06월 24일 (수요일) | 디럭스(유러피언_원룸_호텔형) | 예약가능 (14실)
  - 2026년 06월 24일 (수요일) | 디럭스(트윈베드) | 예약가능 (12실)
  - 2026년 06월 24일 (수요일) | 디럭스(트윈베드_호텔형) | 예약가능 (12실)
  - 2026년 06월 24일 (수요일) | 디럭스(티니핑 슈팅스타룸_호텔형) | 예약가능 (4실)
  - 2026년 06월 24일 (수요일) | 디럭스(티니핑 연구소룸_호텔형) | 예약가능 (6실)
  - 2026년 06월 24일 (수요일) | 디럭스(티니핑 프린세스룸_호텔형) | 예약가능 (4실)
  - 2026년 06월 24일 (수요일) | 로얄 | 예약가능 (2실)
  - 2026년 06월 24일 (수요일) | 로얄(모던) | 예약가능 (6실)
  - 2026년 06월 24일 (수요일) | 로얄(유러피언_호텔형) | 예약가능 (2실)
  - 2026년 06월 24일 (수요일) | 프리미어 스위트(호텔형) | 예약가능 (21실)
  - 2026년 06월 25일 (목요일) | 디럭스 | 예약가능 (164실)
  - 2026년 06월 25일 (목요일) | 디럭스(모던) | 예약가능 (90실)
  - 2026년 06월 25일 (목요일) | 디럭스(원룸) | 예약가능 (37실)
  - 2026년 06월 25일 (목요일) | 디럭스(원룸_호텔형) | 예약가능 (39실)
  - 2026년 06월 25일 (목요일) | 디럭스(유러피언_원룸_호텔형) | 예약가능 (12실)
  - 2026년 06월 25일 (목요일) | 디럭스(트윈베드) | 예약가능 (6실)
  - 2026년 06월 25일 (목요일) | 디럭스(티니핑 슈팅스타룸_호텔형) | 예약가능 (3실)
  - 2026년 06월 25일 (목요일) | 디럭스(티니핑 연구소룸_호텔형) | 예약가능 (5실)
  - 2026년 06월 25일 (목요일) | 디럭스(티니핑 프린세스룸_호텔형) | 예약가능 (2실)
  - 2026년 06월 25일 (목요일) | 로얄 | 예약가능 (1실)
  - 2026년 06월 25일 (목요일) | 로얄(모던) | 예약가능 (6실)
  - 2026년 06월 25일 (목요일) | 로얄(유러피언_호텔형) | 예약가능 (1실)
  - 2026년 06월 25일 (목요일) | 프리미어 스위트(호텔형) | 예약가능 (19실)
  - 2026년 06월 26일 (금요일) | 디럭스 | 예약가능 (65실)
  - 2026년 06월 26일 (금요일) | 디럭스(모던) | 예약가능 (43실)
  - 2026년 06월 26일 (금요일) | 디럭스(원룸) | 예약가능 (10실)
  - 2026년 06월 26일 (금요일) | 디럭스(원룸_호텔형) | 예약가능 (28실)
  - 2026년 06월 26일 (금요일) | 디럭스(유러피언_원룸_호텔형) | 예약가능 (12실)
  - 2026년 06월 26일 (금요일) | 디럭스(트윈베드) | 예약가능 (12실)
  - 2026년 06월 26일 (금요일) | 로얄 | 예약가능 (1실)
  - 2026년 06월 26일 (금요일) | 로얄(모던) | 예약가능 (2실)
  - 2026년 06월 26일 (금요일) | 로얄(유러피언_호텔형) | 예약가능 (1실)
  - 2026년 06월 26일 (금요일) | 프리미어 스위트(호텔형) | 예약가능 (14실)
  - 2026년 06월 27일 (토요일) | 디럭스 | 예약가능 (5실)
  - 2026년 06월 27일 (토요일) | 디럭스(모던) | 예약가능 (18실)
  - 2026년 06월 27일 (토요일) | 디럭스(원룸_호텔형) | 예약가능 (3실)
  - 2026년 06월 27일 (토요일) | 디럭스(유러피언_원룸_호텔형) | 예약가능 (6실)
  - 2026년 06월 27일 (토요일) | 디럭스(트윈베드) | 예약가능 (11실)
  - 2026년 06월 27일 (토요일) | 프리미어 스위트(호텔형) | 예약가능 (10실)
  - 2026년 06월 28일 (일요일) | 디럭스 | 예약가능 (92실)
  - 2026년 06월 28일 (일요일) | 디럭스(모던) | 예약가능 (19실)
  - 2026년 06월 28일 (일요일) | 디럭스(원룸) | 예약가능 (33실)
  - 2026년 06월 28일 (일요일) | 디럭스(원룸_호텔형) | 예약가능 (34실)
  - 2026년 06월 28일 (일요일) | 디럭스(유러피언_원룸_호텔형) | 예약가능 (11실)
  - 2026년 06월 28일 (일요일) | 디럭스(트윈베드) | 예약가능 (2실)
  - 2026년 06월 28일 (일요일) | 로얄 | 예약가능 (1실)
  - 2026년 06월 28일 (일요일) | 로얄(모던) | 예약가능 (1실)
  - 2026년 06월 28일 (일요일) | 프리미어 스위트(호텔형) | 예약가능 (15실)
  - 2026년 06월 29일 (월요일) | 디럭스 | 예약가능 (164실)
  - 2026년 06월 29일 (월요일) | 디럭스(모던) | 예약가능 (75실)
  - 2026년 06월 29일 (월요일) | 디럭스(원룸) | 예약가능 (37실)
  - 2026년 06월 29일 (월요일) | 디럭스(원룸_호텔형) | 예약가능 (37실)
  - 2026년 06월 29일 (월요일) | 디럭스(유러피언_원룸_호텔형) | 예약가능 (16실)
  - 2026년 06월 29일 (월요일) | 디럭스(트윈베드_호텔형) | 예약가능 (1실)
  - 2026년 06월 29일 (월요일) | 디럭스(티니핑 연구소룸_호텔형) | 예약가능 (7실)
  - 2026년 06월 29일 (월요일) | 디럭스(티니핑 프린세스룸_호텔형) | 예약가능 (3실)
  - 2026년 06월 29일 (월요일) | 로얄 | 예약가능 (2실)
  - 2026년 06월 29일 (월요일) | 로얄(모던) | 예약가능 (3실)
  - 2026년 06월 29일 (월요일) | 프리미어 스위트(호텔형) | 예약가능 (16실)
  - 2026년 06월 30일 (화요일) | 디럭스 | 예약가능 (182실)
  - 2026년 06월 30일 (화요일) | 디럭스(모던) | 예약가능 (106실)
