========================================================================
  한화리조트 예약가능 객실 현황
  수집일시 : 2026-06-15 01:12:11
  수집기간 : 2026년 06월 ~ 2026년 08월
  대상리조트: 설악 쏘라노, 설악 별관, 용인베잔송, 산정호수 안시, 대천 파로스, 경주 에톤, 경주 담톤, 제주, 평창, 거제 벨버디어, 거제 르 씨엘, 여수 벨메르, 더플라자 호텔, 브리드호텔 양양, 마티에 오시리아, 해운대
========================================================================

────────────────────────────────────────────────────────────────────────
  ■ 설악 쏘라노
────────────────────────────────────────────────────────────────────────

    ○ 디럭스(티니핑 연구소룸_호텔형)              | 예약가능:    6실
    ○ 디럭스(티니핑 슈팅스타룸_호텔형)             | 예약가능:    4실
    ○ 로얄                             | 예약가능:    3실
    ○ 로얄(모던)                         | 예약가능:    3실
    ○ 로얄(유러피언_호텔형)                   | 예약가능:    1실
    ○ 프리미어 스위트(호텔형)                  | 예약가능:   17실

  [2026.07 15 (수)]
    ○ 디럭스(모던)                        | 예약가능:  137실
    ○ 디럭스                            | 예약가능:  134실
    ○ 디럭스(유러피언_원룸_호텔형)               | 예약가능:   28실
    ○ 디럭스(트윈베드)                      | 예약가능:    1실
    ○ 디럭스(트윈베드_호텔형)                  | 예약가능:    8실
    ○ 디럭스(원룸)                        | 예약가능:   38실
    ○ 디럭스(원룸_호텔형)                    | 예약가능:   43실
    ○ 디럭스(티니핑 프린세스룸_호텔형)             | 예약가능:    3실
    ○ 디럭스(티니핑 연구소룸_호텔형)              | 예약가능:    3실
    ○ 디럭스(티니핑 슈팅스타룸_호텔형)             | 예약가능:    4실
    ○ 로얄(유러피언_호텔형)                   | 예약가능:    1실
    ○ 프리미어 스위트(호텔형)                  | 예약가능:   17실

  [2026.07 16 (목)]
    ○ 디럭스(모던)                        | 예약가능:   69실
    ○ 디럭스                            | 예약가능:   67실
    ○ 디럭스(유러피언_원룸_호텔형)               | 예약가능:   22실
    ○ 디럭스(원룸)                        | 예약가능:   31실
    ○ 디럭스(원룸_호텔형)                    | 예약가능:   28실
    ○ 프리미어 스위트(호텔형)                  | 예약가능:   18실

  [2026.07 18 (토)]
    ○ 디럭스(티니핑 프린세스룸_호텔형)             | 예약가능:    1실
    ○ 디럭스(티니핑 연구소룸_호텔형)              | 예약가능:    1실

  [2026.07 19 (일)]
    ○ 디럭스(모던)                        | 예약가능:   39실
    ○ 디럭스                            | 예약가능:   55실
    ○ 디럭스(유러피언_원룸_호텔형)               | 예약가능:   23실
    ○ 디럭스(트윈베드)                      | 예약가능:    5실
    ○ 디럭스(트윈베드_호텔형)                  | 예약가능:   12실
    ○ 디럭스(원룸)                        | 예약가능:   14실
    ○ 디럭스(원룸_호텔형)                    | 예약가능:   34실
    ○ 디럭스(티니핑 연구소룸_호텔형)              | 예약가능:    1실
    ○ 로얄(모던)                         | 예약가능:    2실
    ○ 로얄(유러피언_호텔형)                   | 예약가능:    2실
    ○ 프리미어 스위트(호텔형)                  | 예약가능:    6실

  [2026.07 20 (월)]
    ○ 디럭스(모던)                        | 예약가능:   49실
    ○ 디럭스                            | 예약가능:   40실
    ○ 디럭스(유러피언_원룸_호텔형)               | 예약가능:   30실
    ○ 디럭스(트윈베드)                      | 예약가능:    8실
    ○ 디럭스(트윈베드_호텔형)                  | 예약가능:   16실
    ○ 디럭스(원룸)                        | 예약가능:   16실
    ○ 디럭스(원룸_호텔형)                    | 예약가능:   38실
    ○ 디럭스(티니핑 프린세스룸_호텔형)             | 예약가능:    1실
    ○ 디럭스(티니핑 연구소룸_호텔형)              | 예약가능:    7실
    ○ 디럭스(티니핑 슈팅스타룸_호텔형)             | 예약가능:    1실
    ○ 로얄(모던)                         | 예약가능:    3실
    ○ 로얄(유러피언_호텔형)                   | 예약가능:    2실
    ○ 프리미어 스위트(호텔형)                  | 예약가능:    7실

  [2026.07 21 (화)]
    ○ 디럭스(모던)                        | 예약가능:   71실
    ○ 디럭스                            | 예약가능:   76실
    ○ 디럭스(유러피언_원룸_호텔형)               | 예약가능:   30실
    ○ 디럭스(트윈베드)                      | 예약가능:   10실
    ○ 디럭스(트윈베드_호텔형)                  | 예약가능:   18실
    ○ 디럭스(원룸)                        | 예약가능:   19실
    ○ 디럭스(원룸_호텔형)                    | 예약가능:   41실
    ○ 디럭스(티니핑 프린세스룸_호텔형)             | 예약가능:    2실
    ○ 디럭스(티니핑 연구소룸_호텔형)              | 예약가능:    6실
    ○ 디럭스(티니핑 슈팅스타룸_호텔형)             | 예약가능:    2실
    ○ 로얄(모던)                         | 예약가능:    4실
    ○ 로얄(유러피언_호텔형)                   | 예약가능:    2실
    ○ 프리미어 스위트(호텔형)                  | 예약가능:    7실

  [2026.07 22 (수)]
    ○ 디럭스(모던)                        | 예약가능:   51실
    ○ 디럭스                            | 예약가능:   66실
    ○ 디럭스(유러피언_원룸_호텔형)               | 예약가능:   28실
    ○ 디럭스(트윈베드)                      | 예약가능:    4실
    ○ 디럭스(트윈베드_호텔형)                  | 예약가능:   16실
    ○ 디럭스(원룸)                        | 예약가능:   16실
    ○ 디럭스(원룸_호텔형)                    | 예약가능:   38실
    ○ 디럭스(티니핑 프린세스룸_호텔형)             | 예약가능:    4실
    ○ 디럭스(티니핑 연구소룸_호텔형)              | 예약가능:    5실
    ○ 디럭스(티니핑 슈팅스타룸_호텔형)             | 예약가능:    2실
    ○ 로얄(모던)                         | 예약가능:    1실
    ○ 로얄(유러피언_호텔형)                   | 예약가능:    2실
    ○ 프리미어 스위트(호텔형)                  | 예약가능:    7실

  [2026.07 23 (목)]
    ○ 디럭스(모던)                        | 예약가능:   16실
    ○ 디럭스                            | 예약가능:   13실
